cowords	actual sense	predicted sense	correct
bond issue go state court friendly test_suit test validity act and_then sale begin contract let repair georgia most heavily traveled highway	1:04:00::	2:41:02::	0
group source say also be plan there issue some 3 million 4 million worth group bond rural road construction	1:04:00::	2:41:02::	0
father girl say and_then seem change mind	2:41:00::	2:41:02::	0
see hand start down leather thong handle quirt grab wrist	2:38:00::	2:41:02::	0
papa go_out do god person often accompany buggy draw new black mare	1:04:00::	2:41:02::	0
present whole serum fractionate chromatography deae_cellulose use single gradient similar describe person person certain chemical serological property fraction contain antibody abo rh system describe	1:06:00::	2:41:02::	0
stand left hand pocket merely stop moment sketch surprised stare watch person hand	2:36:00::	2:41:02::	0
all seem peek window broken nosed man muscular arm wrestler neck be merely caretaker try hand boss	1:04:01::	2:41:02::	0
now keep protectively ready laugh again sure_enough point index_finger say once_more roar_off fog foot evidently surprising suddenness press accelerator just hand	2:36:00::	2:41:02::	0
stir say be sorry prevent today	1:04:01::	2:41:02::	0
title read easily crisscrossed wire theology astral physics history biology political_science	1:06:00::	2:41:02::	0
person end	2:41:06::	2:41:02::	0
name person three year ago head committee include person person person person relentlessly	2:41:02::	2:41:02::	1
play basketball there law_degree	2:41:02::	2:41:02::	1
learn part write	2:41:02::	2:41:02::	1
person admit n't agree public performance indeed just own private satisfaction dearly love know sound do professional musician trained voice	1:06:00::	2:41:02::	0
musician group not rehearse merely see sound	1:06:00::	2:41:02::	0
even suspect be	1:06:00::	2:41:02::	0
afraid one_and_the_same time turn_down be blow pride know be author work accept then violent feeling matter certainly betray deeply concern be	1:06:00::	2:41:02::	0
afraid one_and_the_same time work turn_down be blow pride know be author accept then violent feeling matter certainly betray deeply concern be	1:06:00::	2:41:02::	0
emotion screw_up new height acceptance first rehearsal ensue such buzz excitement parisian music_lover person come run rousseau inform news reach superintendent king amusement now demand offer first royal summer palace location	1:06:00::	2:41:02::	0
do analyst man really know folklore be have no_more appeal other work truly scientific sort reach limited learned audience	1:06:00::	2:41:02::	0
work do analyst man really know folklore be have no_more appeal other truly scientific sort reach limited learned audience	1:06:00::	2:41:02::	0
wish discuss literary figure use folklore first thing realize be literary figure be probably part ignorant american public	1:06:00::	2:41:02::	0
last two writer introduce strong political bias not union leaders discuss soon see folklore reservoir protest downtrodden publicly silenced mass	1:06:00::	2:41:02::	0
theorem prove be more general describe primary decomposition minimal polynomial not prime enter be all first degree	2:35:02::	2:41:02::	0
person perform right group field possibly strong team spring person base_on_balls	2:36:09::	2:41:02::	0
person walk first batter face person romp around person blast person next toss foot scoreboard right center	2:36:09::	2:41:02::	0
vacuum minimal information result only showpiece look good exhibition catalog please public_relations department have little do essence interior_design	2:41:02::	2:41:02::	1
early year training certain phase cover synthetic problem have use	1:09:00::	2:41:02::	0
consultation architect client real_estate man fabric house furniture company be essential proper development class problem just actual	1:04:01::	2:41:02::	0
professional organization group group group various trade association aid greatly	1:04:00::	2:41:02::	0
certainly educator involve interior_design be member active organization	1:04:00::	2:41:02::	0
be almost no school country offer graduate interior_design rule at_present observe	1:09:00::	2:41:02::	0
become most evident description christ second adam indeed come destroy sin culminate achievement immortality	1:04:00::	2:41:02::	0
speak christ bestowal incorruptibility mean not mean deliverance time history	1:04:00::	2:41:02::	0
christianity teach not_only salvation history salvation history christ such interpretation death require drastic revision christian understanding christ	1:04:00::	2:41:02::	0
man not object sketch go_about persuade come studio pose	1:04:01::	2:41:02::	0
cardinal location	2:41:00::	2:41:02::	0
two hour day each model send rabbi	2:41:02::	2:41:02::	1
arrangement person well sometimes person not figure be master apprentice	2:35:02::	2:41:02::	0
person be senseless complain not like wet floor particularly cold_weather	2:41:02::	2:41:02::	1
word binomial mean two name two term usage apply first name two outcome binomial trial second term represent probability success failure	1:06:00::	2:41:02::	0
ask play be come_upon community such terrible power be better answer give spirit	2:41:06::	2:41:02::	0
colonial period generally leave people believe government wish provide manner service independence freeman not realize benefit modern life	2:41:00::	2:41:02::	0
effort such_as group location demonstrate transitional society balanced national development	2:41:02::	2:41:02::	1
person interrupt half finished stupid jackass person be certain louse_up	1:06:00::	2:41:02::	0
now be do lots	1:04:00::	2:41:02::	0
american usually live group segregate national origin religious_belief like shop noise vitality downtown	2:41:00::	2:41:02::	0
go neighbor collect check	1:04:01::	2:41:02::	0
person brain	2:41:06::	2:41:02::	0
person blind	2:41:06::	2:41:02::	0
person undertake go house house thoughtless resignation honest traditional laborer	1:04:00::	2:41:02::	0
closely principal property disposal installation federal_government review proposed sale program identify type property small business_concern be most likely be interested purchase	2:41:06::	2:41:02::	0
government contract eligible applicant pay one-half cost approved exploration progress	1:04:00::	2:41:02::	0
applicant pay rest cost own time spend charge use equipment own apply share cost	1:04:00::	2:41:02::	0
place clean meal serve person do	1:04:00::	2:41:02::	0
be responsible sometimes dangerous thieving be awful port location	1:04:01::	2:41:02::	0
not surprisingly approach not	2:41:03::	2:41:02::	0
teacher school_principal confer_with agree keep_up certain amount home be little danger lose term	1:09:00::	2:41:02::	0
first marry field day get_in car drive work take fresh hot meal	2:41:00::	2:41:02::	0
first marry work field day get_in car drive take fresh hot meal	2:41:00::	2:41:02::	0
now be field be rain not know go	1:04:01::	2:41:02::	0
woman keep voice low house sit living_room sound chicken shut_up coop night	2:41:06::	2:41:02::	0
person be lucky enough see hear performance august certainly welcome return public notice be not unlikely even great person lie_dormant so many year erudite ingenious person pass_through purgatory neglect	1:06:00::	2:41:02::	0
hear see person be virtually impossible deny artistic validity importance whole abstract movement	1:06:00::	2:41:02::	0
use non color be startling skillful	1:06:00::	2:41:02::	0
much old experimental respiratory infection accomplish very artificial procedure	1:09:00::	2:41:02::	0
first day puzzle entry doctor note emergency case	1:06:01::	2:41:02::	0
granary	2:41:00::	2:41:02::	0
cousin group	2:41:00::	2:41:02::	0
child hang_on	2:41:00::	2:41:02::	0
person take clothesbrush closet	2:41:00::	2:41:02::	0
person fieldhand afternoon school	2:41:00::	2:41:02::	0
person more_and_more affection person hot day summer	1:04:00::	2:41:02::	0
help person person enlarge flower_garden side_yard sometimes sit still evening watch last fat bee summer purple dusk	2:41:02::	2:41:02::	1
one day person tell smile pat back walk weekly conference squad leader keep_up squad be good best keep_up keep_up good	1:04:00::	2:41:02::	0
person not laugh be concentration achievement	1:04:00::	2:41:02::	0
detective leave person phone secretary cancel advise network get substitute director current project	1:04:00::	2:41:02::	0
person talk maid arrange come every_day instead four day now	2:41:00::	2:41:02::	0
leave so fast president location issue appeal week factory_worker west volunteer six month front_line factory location	1:04:00::	2:41:02::	0
doctrine never not work now	2:41:03::	2:41:02::	0
doctrine never work not now	2:41:03::	2:41:02::	0
other_than clean_out pore make sweat_gland hard	2:41:01::	2:41:02::	0
poetry never get_around_to read group make possible poet hear read own	1:06:00::	2:41:02::	0
be hard understand conclude most snake not grow appreciably attain maturity species location perhaps some tropical snake be unusual respect	2:41:06::	2:41:02::	0
best procedure remove substance cause nonspecific staining obtain specific conjugate pass_through conjugate deae_cellulose column some case absorb first second milliliter fraction sweet_clover tissue powder	1:04:00::	2:41:02::	0
person think_of man out night leave protective ridge fear guts pick way area beyond	2:30:00::	2:41:02::	0
location stone-gray mystery travel thirty day sleep barn farmer road subtle change know location meet person	2:36:01::	2:41:02::	0
hero person person be chap embitter more lack beer jam_session	1:06:00::	2:41:02::	0
not altogether successful play overcome sheer vitality power lesser be crippling	1:06:00::	2:41:02::	0
ballet be especially opening number group group fiery sultry brazilian fantasia later	1:04:00::	2:41:02::	0
later collage master variety extraneous material use sometimes same almost always every other eye-deceiving device think_of	1:06:00::	2:41:02::	0
heat_of_condensation function kinetic_energy electron impinge_on anode	1:19:00::	2:41:02::	0
most recreation call_for good_deal pre planning	1:04:00::	2:41:02::	0
become more_and_more available county other government agency	1:04:00::	2:41:02::	0
site planning be best have qualified experienced park planner carry_through study	1:04:00::	2:41:02::	0
other investigator apply salt fractionation technique problem fractionation organic solvent such_as acetone	1:06:00::	2:41:02::	0
much review person person	1:09:00::	2:41:02::	0
camera stare soloist face extreme closeup then considerately pull_back full view ensemble	1:04:00::	2:41:02::	0
never naturally make look unusual	2:41:03::	2:41:02::	0
